state,acgme_id,rise_program_id,program_name,field,registry_value,research_supported_value,discrepancy_class,supporting_source,confidence,recommended_action,evidence_provenance,note,adversarially_validated
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Program Director,(empty),"Ethan Meltzer, M.D.",SEMANTIC_MISMATCH,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/team,MEDIUM,FIX_FIELD_SEMANTICS_OR_NULL_HANDLING,STAGE_B_STRUCTURED_PER_FIELD,Exactly the predicted schema gap - empty for all 16 TX Neurology rows. Not a research gap; the PD is published on the program's own Team page and signs the Directors' Welcome.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Program Faculty Count,0,30 physician faculty (FREIDA field_total_physician); department 'currently over 100 members' per the Directors' Welcome,SEMANTIC_MISMATCH,https://freida.ama-assn.org/program/1804800001,MEDIUM,FIX_FIELD_SEMANTICS_OR_NULL_HANDLING,STAGE_B_STRUCTURED_PER_FIELD,"FREIDA null sentinel written as zero, exactly the predicted defect pattern.",NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Faculty Resident Ratio,0.00:1,1.90:1 (FREIDA field_ratio_ft_faculty),SEMANTIC_MISMATCH,https://freida.ama-assn.org/program/1804800001,MEDIUM,FIX_FIELD_SEMANTICS_OR_NULL_HANDLING,STAGE_B_STRUCTURED_PER_FIELD,"Same null-sentinel defect. 1.90 x 16 residents = 30.4, consistent with field_total_physician = 30.",NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Faculty Distribution,Physicians: 0; non-physicians: 0,30 physicians reported; non-physician count not published,SEMANTIC_MISMATCH,https://freida.ama-assn.org/program/1804800001,MEDIUM,FIX_FIELD_SEMANTICS_OR_NULL_HANDLING,STAGE_B_STRUCTURED_PER_FIELD,Null sentinel.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Salary PGY1,67503,"$69,528 for AY2026-2027 (the GME page explicitly labels $67,503 as 'Current Academic Year: 2025-2026')",STALE_REGISTRY_VALUE,https://dellmed.utexas.edu/education/academics/graduate-medical-education/resources/salary-and-benefits,MEDIUM,REFRESH_FROM_CURRENT_CYCLE,STAGE_B_STRUCTURED_PER_FIELD,Exactly the predicted one-cycle-stale salary pattern. FREIDA reports 69582 for the same year - a $54 discrepancy recorded as a conflict.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Salary PGY2,69657,"$71,747 (AY2026-27)",STALE_REGISTRY_VALUE,https://dellmed.utexas.edu/education/academics/graduate-medical-education/resources/salary-and-benefits,MEDIUM,REFRESH_FROM_CURRENT_CYCLE,STAGE_B_STRUCTURED_PER_FIELD,AY2025-26 value.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Salary PGY3,72478,"$74,652 (AY2026-27)",STALE_REGISTRY_VALUE,https://dellmed.utexas.edu/education/academics/graduate-medical-education/resources/salary-and-benefits,MEDIUM,REFRESH_FROM_CURRENT_CYCLE,STAGE_B_STRUCTURED_PER_FIELD,AY2025-26 value.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Salary PGY4,75368,"$77,629 (AY2026-27)",STALE_REGISTRY_VALUE,https://dellmed.utexas.edu/education/academics/graduate-medical-education/resources/salary-and-benefits,MEDIUM,REFRESH_FROM_CURRENT_CYCLE,STAGE_B_STRUCTURED_PER_FIELD,AY2025-26 value.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Application Deadline,2025-12-15,October 15; all applications reviewed by Oct. 1; submit by Sept. 15 for stated advantage,CONFIRMED_CORRECTION,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/application-details,MEDIUM,UPDATE_REGISTRY_VALUE,STAGE_B_STRUCTURED_PER_FIELD,Not merely stale - two months later than the program's own published cutoff. Acting on the registry value would risk a missed deadline.,NO
TX,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Program Status,FREIDA: not accepting current year; accepting next year,field_accepting_current_year = true in the survey received 2026-07-21,CONFIRMED_CORRECTION,https://freida.ama-assn.org/program/1804800001,MEDIUM,UPDATE_REGISTRY_VALUE,STAGE_B_STRUCTURED_PER_FIELD,A straight reversal. The registry was hydrated from the prior survey cycle.,NO
